bioID,college,collegeOther,pos,height_cm,weight_kg,birth_date,birth_year
thompka99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
thomppa01w,Tennessee,Unknown,F,185.42000000000002,87.543256,1975-01-16,1975.0
thompsh01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
thompti01w,USC,Unknown,F,187.96,80.739376,1975-02-10,1975.0
thorbsh01w,Utah,Unknown,G,175.26,67.585208,1982-08-07,1982.0
thorner01w,Brigham_Young,Unknown,G,177.8,68.0388,1981-05-19,1981.0
threaro01w,Wisconsin,Unknown,G,170.18,68.0388,1970-07-01,1970.0
tilliic01w,Duke,Unknown,C,195.58,74.84268,1981-12-06,1981.0
timmsmi01w,Unknown,Unknown,G,170.18,59.874144,1965-06-28,1965.0
tolerpe01w,Long_Beach_State,Unknown,G,172.72,59.874144,1966-03-24,1966.0
tolivkr01w,Maryland,Unknown,G,170.18,58.96696,1987-01-27,1987.0
torniel01w,Unknown,Unknown,F,185.42000000000002,72.57472,1965-05-27,1965.0
torrele01w,Florida_State,Unknown,C,190.5,77.564232,1978-04-06,1978.0
traviti01w,Flordia,Unknown,G,180.34,65.77083999999999,1978-03-20,1978.0
tremich01w,Auburn,Unknown,G,167.64000000000001,64.410064,1969-10-20,1969.0
tricetr01w,North_Carolina_State,Unknown,F,187.96,81.64656,1965-08-04,1965.0
tunsine01w,Iowa_State,Unknown,G,185.42000000000002,77.11064,1970-08-22,1970.0
turneba01w,Connecticut,Unknown,G,182.88,78.017824,1984-06-08,1984.0
tutermo01w,Arizona_State,Unknown,G,182.88,70.30676,1975-08-25,1975.0
tuvicsl01w,Unknown,Unknown,C,193.04,87.996848,1977-09-19,1977.0
tzekopo01w,Unknown,Unknown,C,193.04,85.728888,1968-04-30,1968.0
udokamf01w,DePaul,Unknown,F,182.88,84.821704,1976-06-16,1976.0
ujhelpe01w,South_Carolina,Unknown,F,193.04,90.7184,1980-12-17,1980.0
umoh-it01w,Clemson,Unknown,G,170.18,63.50288,1977-02-21,1977.0
valdeam01w,Unknown,Unknown,F,185.42000000000002,72.57472,1976-08-18,1976.0
vandeco01w,Gonzaga,Unknown,G,172.72,58.96696,1989-02-08,1989.0
vandehe99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
vanemal01w,UCLA,Unknown,F,190.5,79.3786,1968-04-14,1968.0
vangomi01w,Duke,Unknown,C,198.12,84.821704,1977-05-10,1977.0
vaughki01w,Rutgers,Unknown,C,193.04,94.347136,1987-01-24,1987.0
vaughkr01w,Virginia_Commonwealth,Unknown,F,185.42000000000002,72.57472,1986-09-08,1986.0
vealkr01w,Unknown,Unknown,G,177.8,68.0388,1981-07-24,1981.0
veselja01w,none,Unknown,F,190.5,88.45044,1983-12-31,1983.0
vidicbo01w,Oregon_State,Unknown,G,175.26,60.327736,1973-01-07,1973.0
viglida01w,Texas,Unknown,G,177.8,71.213944,1975-03-07,1975.0
vilipda01w,Unknown,Unknown,F,193.04,93.893544,1975-03-30,1975.0
vodicka01w,Unknown,Unknown,F,193.04,86.18248,1972-12-19,1972.0
vodopna01w,Unknown,Unknown,F,190.5,82.100152,1981-04-06,1981.0
voigtka01w,Wisconsin,Unknown,G,185.42000000000002,73.481904,1975-04-07,1975.0
vukadmi01w,California,Unknown,G,185.42000000000002,68.0388,1968-11-18,1968.0
walkeas01w,California,Unknown,F,185.42000000000002,90.7184,1987-02-24,1987.0
walkeay01w,Louisiana_Tech,Unknown,F,190.5,64.410064,1979-09-10,1979.0
walkeda01w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
walkede01w,Virginia,Unknown,F,190.5,76.203456,1977-11-28,1977.0
walkema01w,Pittsburgh,Unknown,C,190.5,114.758776,1986-10-17,1986.0
walsema01w,Penn_State,Unknown,F,187.96,83.460928,1978-10-28,1978.0
wardvo01w,Tennessee,Unknown,C,198.12,77.11064,1973-03-16,1973.0
warleav01w,Liberty,Unknown,C,190.5,80.96255005964697,1987-05-17,1987.0
washico01w,Notre_Dame,Unknown,G,167.64000000000001,62.595696,1971-01-17,1971.0
washito01w,Florida,Unknown,F,180.34,72.57472,1977-12-30,1977.0
wautean01w,Unknown,Unknown,C,193.04,87.543256,1980-10-12,1980.0
weathte01w,Louisiana_Tech,Unknown,G,172.72,73.028312,1965-12-08,1965.0
webbum01w,North_Carolina_State,Unknown,G,177.8,73.481904,1975-06-26,1975.0
weberma01w,Iona,Unknown,C,195.58,90.7184,1982-06-01,1982.0
weckeke01w,Kansas_State,Unknown,F,185.42000000000002,78.017824,1982-12-16,1982.0
weisery99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
westhpa99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
whaleli01w,Minnesota,Unknown,G,172.72,68.0388,1982-05-09,1982.0
whisejo99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
whitede01w,Louisiana_State,Unknown,F,180.34,81.64656,1980-04-03,1980.0
whiteer01w,Louisiana_State,Unknown,G,160.02,61.23492,1986-08-26,1986.0
whiteta01w,Mississippi_State,Unknown,G,170.18,69.853168,1982-09-27,1982.0
whitiva01w,Stanford,Unknown,C,187.96,90.264808,1972-04-09,1972.0
whitmta01w,Memphis,Unknown,F,187.96,86.18248,1977-06-05,1977.0
whittje01w,Unknown,Unknown,C,195.58,79.83219199999999,1973-09-05,1973.0
whittkh01w,North_Carolina_State,Unknown,F,185.42000000000002,83.91452,1986-08-05,1986.0
wickssu01w,Rutgers,Unknown,F,190.5,86.636072,1966-11-26,1966.0
widemja01w,Stanford,Unknown,G,167.64000000000001,61.23492,1975-10-16,1975.0
wiggica01w,Stanford,Unknown,G,180.34,69.853168,1987-02-14,1987.0
wilkeda01w,Long_Beach_State,Unknown,G,165.1,54.884631999999996,1969-02-27,1969.0
wilkibr01w,Iowa_State,Unknown,C,190.5,83.91452,1983-06-15,1983.0
williad01w,USC,Unknown,F,195.58,77.11064,1977-02-15,1977.0
willian01w,Illinois,Unknown,G,182.88,67.585208,1983-07-21,1983.0
willibe01w,Texas,Unknown,G,175.26,65.77083999999999,1965-11-09,1965.0
willide01w,Louisiana_Tech,Unknown,G,172.72,72.57472,1972-09-23,1972.0
willifr99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
willigr99w,Unknown,Unknown,Unknown,185.42000000000002,75.749864,,
williki01w,DePaul,Westark_CC,G,167.64000000000001,61.688512,1974-10-14,1974.0
willile01w,Auburn,Unknown,F,182.88,90.7184,1981-02-10,1981.0
willile02w,DePaul,Unknown,G,180.34,70.30676,1979-07-04,1979.0
willili01w,UCLA,Unknown,G,180.34,77.11064,1984-06-13,1984.0
willina01w,UCLA,Unknown,F,187.96,95.25431999999999,1970-11-30,1970.0
williri01w,Connecticut,Unknown,G,167.64000000000001,61.23492,1976-01-14,1976.0
williri02w,Miami,Unknown,G,170.18,74.84268,1990-05-28,1990.0
willisa01w,Auburn,Unknown,G,182.88,76.23469705189977,1973-09-24,1973.0
willish01w,Oregon,Unknown,G,167.64000000000001,61.23492,1980-04-14,1980.0
willita01w,Auburn,Unknown,G,180.34,77.11064,1974-07-23,1974.0
willito01w,Texas_A&M,Unknown,G,172.72,62.595696,1982-01-11,1982.0
williwe01w,Arkansas,Unknown,G,170.18,63.956472,1978-11-18,1978.0
wilsoam01w,Louisiana_Tech,Unknown,F,180.34,79.83219199999999,1977-02-06,1977.0
